Titre,Album,Année,Durée,Paroles,Compositeur,Auteur
L'horloge,Ainsi Soit Je,1988,"5,01","Horloge ! dieu sinistre, effrayant, impassible
Dont le doigt nous menace et nous dit : ""Souviens-toi !
Les vibrantes Douleurs dans ton coeur plein d'effroi
Se planteront bientôt comme dans une cible,

Le Plaisir vaporeux fuira vers l'horizon
Ainsi qu'une sylphide au fond de la coulisse ;
Chaque instant te dévore un morceau du délice
A chaque homme accordé‚ pour toute sa saison.

Trois mille six cents fois par heure, la Seconde
Chuchote : Souviens-toi ! - Rapide, avec sa voix
D'Insecte, Maintenant dit : Je suis Autrefois,
Et j'ai pompé ta vie avec ma trompe immonde !

Remember ! Souviens-toi, prodigue !Esto memor !
(Mon gosier de métal parle toutes les langues.)
Les minutes, mortel folâtre, sont des gangues
Qu'il ne faut pas lâcher sans en extraire l'or !

Souviens-toi que le Temps est un joueur avide
Qui gagne sans tricher, à tout coup ! c'est la loi.
Le jour décroît ; la nuit augmente, souviens-toi !
Le gouffre a toujours soif ; la clepsydre se vide

Tantôt sonnera l'heure où le divin Hasard,
Où l'auguste Vertu, ton épouse encor vierge,
Où le repentir même (oh ! la dernière auberge !)
Où tout te dira : Meurs, vieux lâche ! il est trop tard !",Laurent Boutonnat,Charles Baudelaire
Sans contrefaçon,Ainsi Soit Je,1988,"4,06","Puisqu'il faut choisir
A mots doux je peux le dire
Sans contrefaçon
Je suis un garçon
Et pour un empire
Je ne veux me dévêtir
Puisque sans contrefaçon
Je suis un garçon

Tout seul dans mon placard
Les yeux cernés de noir
A l'abri des regards
Je défie le hasard
Dans ce monde qui n'a ni queue ni tête
Je n'en fais qu'à ma tête
Un mouchoir au creux du pantalon
Je suis chevalier d'Eon

Puisqu'il faut choisir
A mots doux je peux le dire
Sans contrefaçon
Je suis un garçon
Et pour un empire
Je ne veux me dévêtir
Puisque sans contrefaçon
Je suis un garçon

Tour à tour on me chasse
De vos fréquentations
Je n'admets pas qu'on menace
Mes résolutions
Je me fous bien des qu'en dira-t-on
Je suis caméléon
Prenez garde à mes soldats de plomb
C'est eux qui vous tueront

Puisqu'il faut choisir
A mots doux je peux le dire...",Laurent Boutonnat,Mylène
Allan,Ainsi Soit Je,1988,"4,46","Pauvres poupées
Qui vont qui viennent (Allan Allan)
Pauvre fantôme
Etrange et blême (Allan Allan)
J'entends ton chant monotone
La nuit frisonne (Allan Allan)
J'entends ton coeur fatigué
D'avoir aimé (Allan Allan)

D'étranges rêveries comptent mes nuits
D'un long voyage où rien ne vit
D'étranges visions couvrent mon front
Tout semble revêtu d'une ombre
L'étrange goût de mort
S'offre mon corps
Saoûle mon âme jusqu'à l'aurore
L'étrange Ligeia renaît en moi
De tout mon être je viens vers toi !

Masque blafard
Tu meurs ce soir (Allan Allan)
Masque empourpré
De sang séché (Allan Allan)
D'où vient ta peur du néant
Tes pleurs d'enfant (Allan Allan)
Qui sont les larmes
De tes tourments ? (Allan Allan)

D'étranges rêveries comptent mes nuits
D'un long voyage où rien ne vit
D'étranges visions couvrent mon front
Tout semble revêtu d'une ombre
L'étrange goût de mort
S'offre mon corps
Saoûle mon âme jusqu'à l'aurore
L'étrange Ligeia renaît en moi
De tout mon être je viens vers toi !...",Laurent Boutonnat,Mylène
Pourvu qu'elles soient douces ,Ainsi Soit Je,1988,"4,52","Hé Mec !
Ton regard oblique
En rien n'est lubrique
Ta maman t'a trop fessê
Ton goût tu revers
N'a rien de pervers
Et ton bébé n'est pas faché

Ton kamasutra
A bien cent ans d'âge
Mon Dieu que c'est démodé
Le nec plus ultra
En ce paysage
C'est d'aimer les deux cotés

Ta majesté
Jamais ne te déplaces!
Sans ton petit oreiller
A jamais je suis
Ton unique classe
Tout n'est que prix à payer

Tu fais Ah! des Oh!
Derrière ton ouvrage
Quand mon petit pantalon
Debout et de dos
Sans perdre courage
Dénude tes obsessions

Tu t'entêtes à te foutre de tout
Mais pourvu qu'elles soient douces
D'un poète tu n'as que la lune en tête
De mes rondeurs tu es K.O.!
Tu t'entêtes à te foutre de tout
Mais pourvu qu'elles soient douces
D'un esthète tu n'as gardé qu'un ""air bête""...
Tout est beau si c'est ""Vue de dos""!
OK!

Prose ou poésie
Tout n'est que prétexte
Pas la peine de t'excuser
Muse au égérie
Mes petites fesses
Ne cessent de t'inspirer

Je fais des Ah! des Oh!
Jamais ne me lasse
Par amour pour un toqué
Ne faut-il pas que
Jeunesse se passe
A quoi bon se bousculer?
Tu t'entêtes à te foutre de tout..",Laurent Boutonnat,Mylène
La ronde triste,Ainsi Soit Je,1988,"4,13","Please let me dream
Let me scream
I feel sad
Please let me dream
Let me scream
Let me die
I love you I love you
I do love you
I love you I love you
I do love you
""Don't quite !""

Please let me dream
Let me scream
I feel sad
""Don't quite !""
Please let me dream
Let me scream
Let me die
""Don't quite !""

I love you I love you
I do love you
I love you I love you
I do love you
""Don't quite !""",Laurent Boutonnat,Mylène
Ainsi soit je...,Ainsi Soit Je,1988,"6,18","Bulle de chagrin
Boule d'incertitude
Tant de matins
Que rien ne dissimule
Je veux mon hiver
M'endormir loin de tes chimères
Je sais bien que je mens
Je sais bien que j'ai froid dedans

Bulle de chagrin
Boule d'incertitude
De nos destins
Naît que solitude
Tu dis qu'il faut du temps
Qu'aimer n'est pas un jeu d'enfant
Je sais bien que tu mens
Mais je suis si seule à présent

Ainsi soit Je
Ainsi soit Tu
Ainsi soit Il
Ainsi moi je
Prie pour que Tu
Fuies mon exil
Mais quel espoir
Pourrais-je avoir
Quand tout est noir ?
Ainsi soit Je
Ainsi soit Tu
Ainsi soit ma vie
Tant pis.

Bulle de chagrin
Boule d'incertitude
Deux orphelins
Que le temps défigure
Je voudrais mon hiver
M'endormir loin de tes chimères
Tu sais bien que je mens
Tu sais bien que j'ai froid dedans.

Ainsi soit Je
Ainsi soit Tu
Ainsi soit Il
Ainsi moi je
Prie pour que Tu
Fuies mon exil
Mais quel espoir
Pourrais-je avoir
Quand tout est noir ?
Ainsi soit Je
Ainsi soit Tu
Ainsi soit ma vie
Tant pis...",Laurent Boutonnat,Mylène
Sans logique,Ainsi Soit Je,1988,"4,29","Si Dieu nous fait à son image
Si c'était sa volonté
Il aurait dû prendre ombrage
Du malin mal habité
Qui s'immisce et se partage
L'innocence immaculée
De mon âme d'enfant sage
Je voudrais comprendre

De ce paradoxe
Je ne suis complice
Souffrez qu'une autre
En moi se glisse
Car sans logique
Je me quitte
Aussi bien satanique
Qu'angélique

Si chaque fois qu'en bavardages
Nous nous laissons dériver
Je crois bien que d'héritage
Mon silence est meurtrier
Vous me découvrez blafarde
Fixée à vos yeux si tendres
Je pourrais bien par mégarde
D'un ciseau les fendre

De ce paradoxe
Je ne suis complice
Souffrez qu'une autre
En moi se glisse
Car sans logique
Je me quitte
Aussi bien satanique
Qu'angélique...",Laurent Boutonnat,Mylène
Jardin de Vienne,Ainsi Soit Je,1988,"5,16","Petit bonhomme
Ne sourit plus
La vie en somme
T'as bien déçu
Ton corps balance
Au vent de soir
Comme une danse
Un au revoir

Monte sur l'arbre
Comme un oiseau
Pour que ton âme
Monte plus haut...

Petit bonhomme
S'est endormi
Comme une pomme
On t'a cueilli
Ta tête penche
Est-ce pour me voir ?
Au loin balance
La corde noire

""Ce soir j'ai de la peine,
Il s'est pendu
Dans un jardin de Vienne""",Laurent Boutonnat,Mylène
Déshabillez-moi,Ainsi Soit Je,1988,"3,45","Déshabillez-moi, déshabillez-moi
Oui, mais pas tout de suite, pas trop vite
Sachez me convoiter, me désirer, me captiver
Déshabillez-moi, déshabillez-moi
Mais ne soyez pas comme, tous les hommes, trop pressés.
 
Et d'abord, le regard
Tout le temps du prélude
Ne doit pas être rude, ni hagard
Dévorez-moi des yeux
Mais avec retenue
Pour que je m'habitue, peu à peu...
 
Déshabillez-moi, déshabillez-moi
Oui, mais pas tout de suite, pas trop vite
Sachez m'hyptoniser, m'envelopper, me capturer
Déshabillez-moi, déshabillez-moi
Avec délicatesse, en souplesse, et doigté
 
Choisissez bien les mots
Dirigez bien vos gestes
Ni trop lents, ni trop lestes, sur ma peau
Voilà ça y est, je suis
Frémissante et offerte
De votre main experte, allez-y...
 
Déshabillez-moi, déshabillez-moi
Maintenant tout de suite, allez vite
Sachez me posséder, me consommer, me consumer...
 
Déshabillez-moi ! ! !
 
Déshabillez-moi
Conduisez-vous en homme
Soyez l'homme... Agissez !
Déshabillez-moi, déshabillez-moi
Et vous... déshabillez-vous !",Gaby Verlon,Robert Nyel
The Farmer's Conclusion,Ainsi Soit Je,1988,"2,14",,Laurent Boutonnat,None
Agnus Dei,L'autre,1991,"5,46","De mutilation
En soustraction
Agnus dei
Te voir en chair
J'en perds la tête

De mutilation
En convulsion
Te voir ici
Quelle hérésie
Les bras m'en tombent

De mutilation
En génuflexion
Excommuniée
J'ai les pieds et
Les poings liés

De mutilation
En extrême onction
Agnus dei
Moi l'impie
Je suis saignée aux quatre veines

""Agnus Dei
Qui tollis
Peccáta mundi
Miserére nobis
Miserére nobis""...

Je m'éloigne de tout
Je suis loin de vous... ",Laurent Boutonnat,Mylène
Désenchantée,L'autre,1991,"5,22","Nager dans les eaux troubles
Des lendemains
Attendre ici la fin
Flotter dans l'air trop lourd
Du presque rien
A qui tendre la main

Si je dois tomber de haut
Que ma chute soit lente
Je n'ai trouvé de repos
Que dans l'indifférence
Pourtant, je voudrais retrouver l'innocence
Mais rien n'a de sens, et rien ne va

Tout est chaos
A côté
Tous mes idéaux : des mots
Abimés...
Je cherche une âme, qui
Pourra m'aider
Je suis
D'une géneration désenchantée
Désenchantée

Qui pourrait m'empêcher
De tout entendre
Quand la raison s'effondre
A quel sein se vouer
Qui peut prétendre
Nous bercer dans son ventre

Si la mort est un mystère
La vie n'a rien de tendre
Si le ciel a un enfer
Le ciel peut bien m'attendre
Dis moi,
Dans ces vents contraires comment s'y prendre
Plus rien n'a de sens, plus rien ne va. ",Laurent Boutonnat,Mylène
L'autre,L'autre,1991,"5,2","Quel émoi devant ce moi
Qui semble frôler l'AUTRE,
Quel émoi devant la foi
De l'un qui pousse l'AUTRE,
C'est la solitude de l'espace
Qui résonne en nous
On est si seul, parfois
Je veux croire alors qu'un ange passe
Qu'il nous dit tout bas
Je suis ici pour toi
Et toi c'est moi.

Mais qui est l'AUTRE
Quel étrange messager
Mais qui est l'AUTRE
Ton visage est familier
Mais qui est l'AUTRE
En toi ma vie s'est réfugiée
C'est un ami, c'est lui.

Toi et moi du bout des doigts
Nous tisserons un AUTRE
Un autre moi, une autre voix
Sans que l'un chasse l'autre,
J'ai dans ma mémoire mes faiblesses
Mais au creux des mains
Toutes mes forces aussi
Mais alors pour vaincre la tristesse
Surmonter ses doutes
Il nous faut un ami
L'ami c'est lui.",Laurent Boutonnat,Mylène
Je t'aime mélancolie,L'autre,1991,"5,31","J'ai comme une envie
De voir ma vie au lit
Comme une idée fixe
Chaque fois que l'on me dit
La plaie c'est ça :
C'est qu'elle pousse trop vite
La mauvaise herbe nuit
C'est là qu'il me vient une idée :
Pouvoir m'apitoyer

C'est bien ma veine
Je souffre en douce
J'attends ma peine
Sa bouche est si douce

J'ai comme une envie
De voir ma vie au lit
Comme une idée triste
Qui me poursuit la nuit - la nuit - la nuit
Je savoure la nuit
L'idée d'éternité
La mauvaise herbe nuit
Car elle ne meurt jamais

Quand tout est gris
La peine est mon amie
Un long suicide acide
Je t'aime mélancolie
Sentiment qui
Me mène à l'infini
Mélange du pire, de mon désir,
Je t'aime mélancolie

Quand tout est gris
La peine est mon amie
J'ai l'âme humide aussi
Tout mon être chavire
Oh viens je t'en prie
C'est ton amie aussi
C'est l'élixir, de mes délires
Je t'aime mélancolie

J'ai comme une envie
De voir ma vie en l'air
Chaque fois que l'on me dit
C'est de la mauvaise herbe
Et moi je dis :
Qu'une sauvage née
Vaut bien d'être estimée
Après tout elle fait souvent la nique
Aux ""trop bien"" cultivées, et toc !

C'est bien ma veine
Je souffre en douce
J'attends ma peine
Sa bouche est si douce

J'ai comme une idée
De la moralité
Comme une idée triste
Mais qui ne meurt jamais
En somme c'est ça :
Pour plaire aux jaloux
Il faut être ignorée
Mais là, mais là, mais là, pour le coup
C'est Dieu qui m'a planté, alors ?...",Laurent Boutonnat,Mylène
Psychiatric,L'autre,1991,"6,05","""I am a human being
I am not an animal""

It's easy this time
To loose my mind
It's easy this time
To loose my mind

Psychiatric
Psychiatric
Psychiatric

It's easy this time
To loose my mind
It's easy this time
To loose my mind ",Laurent Boutonnat,Mylène
Regrets,L'autre,1991,"5,13","Loin très loin du monde
Où rien ne meurt jamais
J'ai fait ce long
Ce doux voyage
Nos âmes se confondent
Aux neiges éternelles
L'amour cachait
Son vrai visage
Oh viens ne sois plus sage
Après tout qu'importe
Je sais la menace
Des amours mortes
Gardons l'innocence
Et l'insouciance
De nos jeux d'antan
Troublants

N'aie pas de regrets
Fais moi confiance et pense
A tous les no way
L'indifférence des sens
N'aie pas de regrets
Fais la promesse tu sais que
L'hiver et l'automne n'ont pu s'aimer

Debout la tête ivre
Des rêves suspendus
Je bois à nos amours infirmes
Au vent que je devine
Nos lèvres éperdues
S'offrent des noces clandestines
N'ouvre pas la porte
Tu sais le piège
De tous les remords
De l'anathème
Je me fous des saisons
Viens je t'emmène
Là où dorment ceux qui s'aiment ",Laurent Boutonnat,Mylène
Pas de doute,L'autre,1991,"5,14","Tout n'est qu'une vaine mise en scène
Tes faux départs sont toujours les mêmes
D'être tendu n'ajoute rien au problème
Tous tes ébats sont stériles et même
Après tout demain peut être différent
Quitte à faire vite
Je prends les devants
Ne dit-on pas qu'il vaut mieux tôt que jamais
Tu précipites
Moi je prends mon temps

Pas de doute ainsi c'est sans doute une fuite
Mais te décharger de tout c'est illicite
Pas de doute ami, là tu t'emballes
Quand tu n'as plus ta tête, tu fais tout trop vite
Pas de doute ainsi c'est sans doute une fuite
Mais te décharger de tout c'est illicite
Pas de doute ainsi c'est bien normal
Quand tu n'as plus ta tête, c'est toi qui précipites

Tout n'est qu'une vaine mise en scène
Tes va et vient sont toujours les mêmes
Ton point de vue tordu sur le sexe faible
S'effondre un rien dans un cas pareil
Après tout c'est bien là ton tempérament
Dès qu'on réplique
Toi tu fous le camp
Ne dit-on pas qui ne tente rien n'a rien
Je suis stoïque
Mais plus pour longtemps

Pas de doute ainsi c'est sans doute une fuite
Mais te décharger de tout c'est illicite
Pas de doute ami, là tu t'emballes
Quand tu n'as plus ta tête, tu fais tout trop vite
Pas de doute ainsi c'est sans doute une fuite
Mais te décharger de tout c'est illicite
Pas de doute ainsi c'est bien normal
Quand tu n'as plus ta tête, c'est toi qui précipites ",Laurent Boutonnat,Mylène
Il n'y a pas d'ailleurs,L'autre,1991,"5,43","Tant de jours
De nuits trop brèves
Ces soupirs
Que tu achèves
Sans y croire, dérisoire

Tu voudrais
D'un autre monde
Je te sens
La proie d'une ombre
Illusoire, il faut me croire

Il n'y a pas d'ailleurs
Il n'y a pas d'ailleurs
Tu sais que ta vie, c'est ici
Il n'y a pas d'ailleurs
Il n'y a pas d'ailleurs
Tu sais que ta vie
C'est la mienne aussi

Pour renaître
De tes cendres
Il te faudra
Réapprendre
Aimer vivre, rester libre

Délaisser
Tes amertumes
Te frayer
Jusqu'à la lune
Un passage, il me faut me croire",Laurent Boutonnat,Mylène
Beyond my control,L'autre,1991,"5,24","Je n'comprends plus pourquoi
J'ai du sang sur mes doigts
Il faut que je te rassure
Je soignerai bien tes blessures / mon amour

Tu n'as plus vraiment le choix
Nos deux corps étendus, là
Qu'à l'aube ils se mélangent
Là tu as les yeux d'un ange / mon amour

Lâche ! (It's beyond my control)
C'est plus fort que... Toi
Toujours en cavale (It's beyond my control)
Tu dis : J'ai besoin de... Tes bras
Oh lâche ! (It's beyond my control)
Mais c'est plus fort que... Toi
Tu nous fais du mal (It's beyond my control)
Ne t'éloigne pas de mes... Bras

Je n'comprends plus pourquoi
J'ai du sang sur mes doigts
Dors en paix je t'assure
Je veillerai ta sépulture / mon amour

C'était plus fort que moi
Même si je sens là l'effroi
Envahir tout mon être
Je te rejoindrai peut-être / mon amour",Laurent Boutonnat,Mylène
Nous souviendrons nous,L'autre,1991,"5,11","Aux vies qui s'abaissent à voir la mienne
Je sais
Qu'il me faudra prendre congé d'elles
Un jour ou l'autre
Nos vies sont des larmes d'aquarelle
Nous ne sommes reliés qu'à nous mêmes

Et si je perds la foi
En nous, en tout
C'est bien malgré moi
Nulle prière
A chacun de nos pas
Je doute de tout
Nous souviendrons nous de nous

Aux vies qui ont soutenu la mienne
Je n'ai
Qu'un long monologue poudré de neige
A partager
Nos vies qui s'écoulent chaque jour saignent
Nous ne sommes reliés qu'à nous mêmes ",Laurent Boutonnat,Mylène
California,Anamorphosée,1995,"4,58","Aéroport, aérogare
mais pour tout l'or m'en aller
c'est le blues, l' coup d'cafard
le check out assuré
vienne la nuit et sonne l'heure
et moi je meurs
entre apathie et pesanteur
où je demeure

changer d'optique, prendre l'exit
et m'envoyer en Amérique
sex appeal, c'est Sunset
c'est Marlboro qui me sourit
mon amour, mon moi, je
sais qu'il existe
la chaleur de l'abandon
c'est comme une symphonie

c'est sexy le ciel de Californie
sous ma peau j'ai L.A. en overdose
so sexy le spleen d'un road movie
dans l' rétro ma vie qui s'anamorphose

j'ai plus d'I.D, mais bien l'idée
de me payer le freeway
c'est l'osmose, on the road
de l'asphalte sous les pieds
vienne la nuit, c'est le jet lag
qui me décale
L.A.P.D me donne un blâme
c'est pas le drame

se faire un trip, s'offrir un streap
sous le soleil en plein midi
six a.m, j'suis offset
j'suis l'ice dans l'eau, j'suis mélo, dis
mon amour, mon Wesson
mon artifice
la chaleur du canon
c'est comme une symphonie

c'est sexy le ciel de Californie
sous ma peau j'ai L.A. en overdose
so sexy le spleen d'un road movie
dans l' rétro ma vie qui s'anamorphose",Laurent Boutonnat,Mylène
Vertige,Anamorphosée,1995,"5,28","Rain, nudité
Nuit sois plus lente
Délivrante
Rain, volupté
Impermanente l'existence
Vois comme la vie est éphémère
Comme les nuages
Juste un passage
Une goutte d'eau nécessaire
Au voyage

Plus loin plus haut
J'atteints mon astre
(Je vertige de vivre)
Plus loin plus haut
L'esprit voyage
(Je vertige de vivre)
L'éveil d'un sens
L'instinct d'une danse
(Je vertige de vivre)
Plus loin plus haut
L'extase et l'immensité
(Je vertige d'être vivant)

Rain, nudité
Nuit sois plus longue
L'homme gronde
Chaînes, pluie d'acier
Son ignorance est sa souffrance
Le temps n'appartient à personne
Ballet d'étoiles
Insaisissables
Instant présent tu es l'essence
Du voyage",Laurent Boutonnat,Mylène
Mylène s'en fout,Anamorphosée,1995,"4,3","Mon aquarium
C'est pas du barnum
J'vois tes grand airs
De diamantaire
T'as plus de mystère
Comme tu as changé
T'es pas plus beau vue de haut
Moi comme j't'aimais
Tu f'sais la planche sur le dos
Voir ton île

Des améthystes
Mylène s'en fout
L'éclat du chic
Mylène s'en fout
Le jade est un joyau bien plus doux
Au creux du nombril
Mylène nue en dessous

Moi mes splendeurs
Sont celles du coeur
Ta mode s'emmure
Le jade est pur
Son style perdure
Comme tu as changé
Ta poésie a pris l'eau
Vois comme tu es
Mais sans parure c'est plus chaud
Sur mon île",Laurent Boutonnat,Mylène
